Frame,Angle_Thumb
0,178.2769913358186
1,170.16545414824247
2,174.45197556183206
3,172.3628186223474
4,171.8242779294141
5,171.78323515953696
6,171.8800328100782
7,172.59896169799688
8,173.25238465977193
9,172.64043252315042
10,172.43345710748432
11,172.47601718500488
12,172.50658629545768
13,172.2716528264775
14,172.05412442120385
15,172.23544513267976
16,172.34462554016474
17,172.05173785386836
18,171.62185785714976
19,171.67267607292143
20,171.70785930739092
21,171.55330638672046
22,171.57515523475735
23,171.53240601556124
24,171.815526632013
25,171.64063047742806
26,171.3255089988172
27,171.10095056486287
28,171.22066338955793
29,171.07035277688766
30,171.2829136418461
31,171.2846586314974
32,171.36239068077563
33,171.6147165429166
34,171.50623718337926
35,171.42643295555592
36,171.7073416610164
37,171.66120008412693
38,171.66171435792
39,171.61813196039353
40,171.5145165718147
41,171.56991941910255
42,171.4678078989513
43,171.40350397921108
44,171.56104604720772
45,171.43540296597658
46,171.49460054728848
47,171.23407216752926
48,171.0936267768281
49,170.953434273899
50,170.73063851438815
51,170.51051194591022
52,170.14405172333102
53,169.06437632725354
54,168.64025547024661
55,168.19180895556232
56,167.5081825303403
57,166.86541159590428
58,166.75130111824936
59,167.16944026003242
60,166.88794573313226
61,166.26010806417403
62,165.72899111739412
63,166.05026001088757
64,165.38962146226527
65,165.03959871566852
66,165.00264805782385
67,165.32593669000565
68,164.15689582612995
69,163.78856184504144
70,162.65673941040365
71,160.66443339882778
72,159.6784683458359
73,159.15473528181363
74,157.81964306821826
75,157.166826135636
76,155.39969451489742
77,153.74844108055743
78,152.8873051419586
79,151.42356441090146
80,149.30103312791772
81,148.7626421809466
82,147.77539349066262
83,148.29036485108958
84,148.7638040317065
85,147.2302689108674
86,148.40504424490402
87,146.9089803545076
88,148.5265583193548
89,147.57132984983735
90,147.10429791181997
91,146.04449748616707
92,144.99268595746472
93,144.6393389089782
94,144.47549368758953
95,143.25603215529256
96,141.33327246795298
97,139.60565121308198
98,136.72966354292714
99,135.58626330556496
100,134.57021021814506
101,129.0260593494529
102,125.61509893393037
103,123.80824507304787
104,119.98794651303943
105,120.34294575066687
106,120.00469117064924
107,119.19716452551516
108,119.04808820706258
109,114.85104327983788
110,114.99345968739543
111,113.33818761481365
112,111.3691456104238
113,110.04659584489568
114,110.25001026209496
115,109.30489150407433
116,107.83405161744655
117,107.96124389679187
118,106.00665643006954
119,105.15916913980841
120,103.19464128820837
121,98.94236314070072
122,96.86076825302537
123,94.7314794617807
124,93.2836110407094
125,93.33184729214891
126,92.72442340635078
127,92.39997114063253
128,93.19785663738234
129,94.4925381614159
130,94.41704987665521
131,93.72557570929474
132,91.59003708911554
133,89.87535644505395
134,91.6295850114698
135,88.8809791157418
136,88.22604127812669
137,87.65843531415399
138,85.8485312709102
139,85.72560330350989
140,84.02719921091207
141,79.75114126900677
142,77.16201428776724
143,76.64191876213499
144,76.27029640048453
145,75.60529742662365
146,76.03080527187974
147,73.52840062945866
148,73.60733143779971
149,75.32062678639436
150,70.87093436290648
151,70.73695306913238
152,68.2700610595186
153,67.9826314645313
154,66.24690636661866
155,66.9243105164718
156,66.34223492478203
157,66.12310730464674
158,65.87161433830559
159,65.6242194928357
160,65.43796735408016
161,66.28077504496954
162,65.65507554789835
163,64.97054663468505
164,65.53883376940728
165,65.73844452253448
166,65.8376735919777
167,66.18801404649032
168,66.0524883486163
169,65.48268032954064
170,65.6951370108755
171,66.36656191383042
172,66.70835486002744
173,65.48799498828019
174,66.61747181798974
175,66.057987825907
176,65.59932439873786
177,66.04104829719851
178,66.34152061596578
179,66.69335949507769
180,66.44187762292235
181,66.52354837016522
182,65.79621022534029
183,66.46064932356279
184,66.33421434800456
185,66.48436909188077
186,66.87166274003711
187,66.82786491020266
188,66.86527911138562
189,66.78059930885694
190,66.44947050136449
191,66.58526405769383
192,65.99151904347963
193,66.17249484974488
194,65.32224710943615
195,66.72049736748023
196,66.11999623819946
197,66.65938513616042
198,66.03707896863442
199,66.39684597739212
200,66.92924450663365
201,66.72798927169687
202,67.6402027172132
203,66.96273749848291
204,66.98220309200653
205,66.43796420339169
206,66.36044797590002
207,66.83169789563254
208,66.80918808424808
209,66.40245982449653
210,66.46318478894817
211,65.73637129270288
212,66.98779848593335
213,66.19749581370073
214,66.35430606825547
215,66.88388174397495
216,66.76662112906699
217,66.42548607445276
218,66.50067731216015
219,66.88561889906708
220,67.88385027569437
221,67.71541545469469
222,67.68942400135965
223,67.76410299968444
224,66.9283395820149
225,68.29628045167777
226,68.353087274729
227,69.4656893948561
228,69.70458592126816
229,69.84010472278676
230,69.32560915977896
231,71.08224428035325
232,71.52083247188112
233,73.62052754842203
234,78.31994850759139
235,76.92010738399324
236,79.9378406470045
237,80.67367499438917
238,81.77487502392843
239,83.6936974171905
240,83.08979533064182
241,85.78927776455913
242,86.40545782568586
243,86.13926990003294
244,89.0128915915982
245,89.43039317490677
246,89.94669843421251
247,87.81835869862276
248,89.31524093441521
249,88.37614064706398
250,91.38816750526938
251,92.64431058829575
252,90.9460702733486
