Frame,Angle_Thumb
0,178.92996981747504
1,175.3433191499014
2,173.9018997435874
3,172.29011785008657
4,172.4371952931229
5,170.00610649099565
6,171.27317687639297
7,171.75549164109853
8,171.7282523792846
9,171.88439557348886
10,171.29279142506084
11,171.65415728600647
12,171.55016875023912
13,171.37485136257678
14,171.25042877432904
15,171.0329435046411
16,170.90058543751513
17,171.0209508231762
18,171.05527543237
19,170.95939887494026
20,170.84762478902883
21,170.5330686529985
22,169.98148711187898
23,170.4605212213849
24,170.31276052236862
25,169.37274939820782
26,169.76472098747706
27,170.0210935276881
28,169.73445045507745
29,169.63783594241724
30,169.76909042322188
31,169.68301381445394
32,169.67118062769117
33,169.93926231787856
34,169.5690299695841
35,169.71428936711123
36,169.67079097079812
37,169.7950421143112
38,169.74315269779376
39,169.94670588804792
40,169.88210127413842
41,169.8392793272693
42,169.58786713646114
43,169.98201313279102
44,169.54026826084527
45,169.95960274959552
46,169.8155596088118
47,169.42878382576953
48,169.72815613227655
49,169.56999042290684
50,169.49668377191267
51,169.55397319715863
52,169.7731348994251
53,169.8337299597941
54,169.86746861251402
55,169.88494172803763
56,169.77379836217264
57,169.77441702887648
58,169.7409108823992
59,169.91287726268877
60,169.63002924976917
61,169.87160918844674
62,169.7586669807495
63,169.96215193563478
64,169.95392720261194
65,169.84208461657965
66,169.9058547754281
67,169.66056749740198
68,169.70631366668798
69,170.09426561745434
70,169.97906496642855
71,169.73166780632857
72,169.64678189877722
73,169.5678773283557
74,169.9856678039573
75,169.95535615499483
76,169.72333538277502
77,169.66993318012777
78,169.63484154427405
79,169.75159010872994
80,169.7956519573982
81,169.54270969129522
82,169.91778048277166
83,169.56015740199797
84,169.46305589694566
85,169.5305528669673
86,170.32295027322118
87,170.050671487814
88,169.32856819303916
89,169.84694556607582
90,169.82434035418123
91,169.4986028819607
92,169.93346074433077
93,169.72236040902902
94,169.96352050455528
95,169.6354522825862
96,169.92660179324278
97,169.79352856536474
98,170.31273651422256
99,169.98074114834813
100,170.1452806118208
101,170.2792680445695
102,169.89986690670187
103,170.3178370428654
104,170.12120931621087
105,170.24214781665734
106,170.21840830614698
107,170.0502982333229
108,170.1318651135028
109,169.81880842335605
110,169.96340116888106
111,170.1408249765829
112,170.23859207371456
113,170.10111376728514
114,170.1833857968257
115,170.45999423909305
116,170.2676569379792
117,169.98208532669457
118,170.36002898159606
119,170.09742611299103
120,170.49149769353383
121,170.34980657195177
122,170.43249403149872
123,170.41888459136126
124,170.49730951047957
125,170.57871343725904
126,170.5878074434016
127,170.0030960540204
128,169.998515870067
129,170.03761489290204
130,170.0910491394893
131,170.46992275263003
132,170.27266214380893
133,170.5143263515974
134,170.19135009175926
135,170.08977515420148
136,170.36826691146564
137,170.27307309475677
138,170.28557917418507
139,170.01119032761383
140,170.09038611624513
141,170.33847156228344
142,170.12293781288585
143,170.39778519125298
144,170.36789158403897
145,170.1046469268878
146,169.97941385834199
147,170.44344654884026
148,170.66937255955526
149,170.4462639818527
150,170.2574218486782
151,170.472446898597
152,170.5502267477748
153,170.65430627804315
154,170.71632923902422
155,170.49623371690853
156,170.605230601515
157,170.44015473102317
158,170.62999043188668
159,170.64519054318416
160,170.69998626289257
161,170.31779303125992
162,170.70532965885403
163,170.50168136870067
164,170.22110276315587
165,170.61955028968123
166,170.75910899370683
167,170.5658554343735
168,170.66209527338728
169,170.63641618771928
170,170.7499799533777
171,170.70099131050517
172,170.44974305638436
173,170.7028395682532
174,170.39933034988746
175,170.77812123259054
176,170.67784842100664
177,170.6888664725977
178,170.52690199662857
179,170.54425185046736
180,170.49086493183088
181,170.71952894656346
182,170.80324769724766
183,170.50180733179613
184,170.652740870192
185,170.4722445251318
186,170.95553933099407
187,170.29688661905422
188,170.74141605179733
189,170.2363672095136
190,170.34475489766993
191,170.6999279184637
192,170.67154087211478
193,170.44415367972115
194,170.32033352612373
195,170.4788503101189
196,170.8359756075066
197,170.60437853325956
198,170.28988441437198
199,170.28819638787823
200,170.53679931171794
201,170.11368562581538
202,170.2924930953129
203,170.47804874766504
204,170.17248196056843
205,170.28443734627086
206,170.2499661057099
207,170.22025007314872
208,170.38963441301536
209,170.3150874252057
210,170.25493267828634
211,170.6522215869285
212,170.11335609714124
213,170.2409500491336
214,170.33935449159023
215,170.08039440587984
216,170.0126881436721
217,169.98481845270373
218,170.24553713815052
219,169.73591403644795
220,170.34106987760745
221,170.2793516986965
222,170.38718141251468
223,170.41525522797738
224,170.45693727708618
225,170.3937568581083
226,170.4258800889853
227,170.3572676305507
228,170.30815398019462
229,170.30237946130566
230,170.3073636641941
231,170.41763248122697
232,170.66609727305223
233,170.41936041248596
234,170.20103640264605
235,170.7304216688889
236,170.60554802373787
